update,episodes,elo,score_vs_previous
10,320,991.000,0.125
20,640,985.311,0.250
30,960,988.818,0.625
40,1280,983.204,0.250
50,1600,980.784,0.375
60,1920,978.447,0.375
63,2000,982.190,0.625
10,320,997.000,0.375
20,640,991.104,0.250
2,32,1003.000,0.625
10,320,997.000,0.375
20,640,1003.104,0.750
3,96,1000.000,0.500
10,320,1006.000,0.750
20,640,1002.793,0.375
10,320,994.000,0.250
20,640,991.207,0.375
25,800,982.511,0.125
10,320,1009.000,0.875
20,640,1005.689,0.375
25,800,1002.493,0.375
10,320,1003.000,0.625
20,640,999.896,0.375
25,800,1002.900,0.625
10,320,997.000,0.375
20,640,991.104,0.250
25,800,985.411,0.250
10,320,988.000,0.000
20,640,991.414,0.625
25,800,991.711,0.500
10,320,991.000,0.125
20,640,1000.311,0.875
30,960,988.300,0.000
40,1280,991.704,0.625
50,1600,991.990,0.500
60,1920,986.267,0.250
63,2000,980.741,0.250
10,320,1000.000,0.500
20,640,1006.000,0.750
30,960,996.793,0.125
40,1280,996.904,0.500
10,320,1003.000,0.625
20,640,1005.896,0.625
10,320,1000.000,0.500
20,640,1000.000,0.500
30,960,994.000,0.250
40,1280,988.207,0.250
50,1600,991.614,0.625
60,1920,985.904,0.250
70,2240,986.391,0.500
80,2560,992.860,0.750
90,2880,996.107,0.625
100,3200,999.241,0.625
110,3520,996.268,0.375
10,320,1000.000,0.500
20,640,997.000,0.375
30,960,991.104,0.250
40,1280,988.411,0.375
50,1600,982.811,0.250
60,1920,989.404,0.750
70,2240,989.770,0.500
80,2560,990.123,0.500
90,2880,984.464,0.250
100,3200,985.001,0.500
110,3520,988.518,0.625
120,3840,991.915,0.625
130,4160,995.194,0.625
140,4480,989.360,0.250
150,4800,992.727,0.625
160,5120,986.978,0.250
170,5440,984.428,0.375
180,5760,978.965,0.250
190,6080,973.691,0.250
195,6240,974.598,0.500
10,320,997.000,0.375
20,640,1000.104,0.625
30,960,994.100,0.250
40,1280,1000.304,0.750
50,1600,1012.293,1.000
60,1920,1008.869,0.375
63,2000,1005.563,0.375
10,320,1012.000,1.000
20,640,1005.586,0.250
30,960,1005.393,0.500
40,1280,1008.207,0.625
50,1600,1010.923,0.625
60,1920,1004.546,0.250
63,2000,1010.389,0.750
